time,equity,symbol,trades
2026-08-09 11:35 UTC,1000.06,BTC/USDT,0
2026-08-09 11:39 UTC,1000.26,BTC/USDT,0
2026-08-10 06:01 UTC,1002.34,BTC/USDT,0
2026-08-11 06:01 UTC,984.88,BTC/USDT,0
2026-08-12 06:01 UTC,981.87,BTC/USDT,0
2026-08-14 06:01 UTC,975.17,BTC/USDT,0
2026-08-15 06:01 UTC,970.93,BTC/USDT,0
2026-08-16 06:01 UTC,970.59,BTC/USDT,0
2026-08-17 06:01 UTC,977.56,BTC/USDT,0
2026-08-18 06:01 UTC,988.13,BTC/USDT,0
2026-08-19 06:01 UTC,988.6,BTC/USDT,0
2026-08-20 06:01 UTC,1067.87,BTC/USDT,0
2026-08-21 06:01 UTC,1160.28,BTC/USDT,0
2026-08-22 06:01 UTC,1191.33,BTC/USDT,0
2026-08-24 06:01 UTC,1186.99,BTC/USDT,0
2026-08-25 06:01 UTC,1242.0,BTC/USDT,0
2026-08-26 06:01 UTC,1217.77,BTC/USDT,0
2026-08-27 06:01 UTC,1213.74,BTC/USDT,0
2026-08-28 06:01 UTC,1227.67,BTC/USDT,0
2026-08-29 06:01 UTC,1194.73,BTC/USDT,0
2026-08-30 06:01 UTC,1202.25,BTC/USDT,0
2026-08-31 06:01 UTC,1200.44,BTC/USDT,0
2026-09-01 06:01 UTC,1217.58,BTC/USDT,0
2026-09-02 06:01 UTC,1195.48,BTC/USDT,0
2026-09-03 06:01 UTC,1197.0,BTC/USDT,0
